Corner Case,Train Group,Gold Group,Train Words,Gold Words,Shared Words,Test-only Words,Train Tokens,Gold Tokens,Shared Tokens,Test-only Tokens
20cc80rnd,20cc80rnd_small,20cc80rnd_000,9956,9997,6815,3182,13329,13260,9892,3368
20cc80rnd,20cc80rnd_small,20cc80rnd_050,9956,8954,5961,2993,13329,12402,8969,3433
20cc80rnd,20cc80rnd_small,20cc80rnd_100,9956,8654,4842,3812,13329,12101,7935,4166
20cc80rnd,20cc80rnd_small,AVERAGE,9956,9201,5872,3329,13329,12587,8932,3655
20cc80rnd,20cc80rnd_medium,20cc80rnd_000,11745,9997,7393,2604,15226,13260,10729,2531
20cc80rnd,20cc80rnd_medium,20cc80rnd_050,11745,8954,6502,2452,15226,12402,9743,2659
20cc80rnd,20cc80rnd_medium,20cc80rnd_100,11745,8654,5213,3441,15226,12101,8595,3506
20cc80rnd,20cc80rnd_medium,AVERAGE,11745,9201,6369,2832,15226,12587,9689,2898
20cc80rnd,20cc80rnd_large,20cc80rnd_000,16530,9997,8470,1527,19672,13260,12104,1156
20cc80rnd,20cc80rnd_large,20cc80rnd_050,16530,8954,7136,1818,19672,12402,10778,1624
20cc80rnd,20cc80rnd_large,20cc80rnd_100,16530,8654,5846,2808,19672,12101,9716,2385
20cc80rnd,20cc80rnd_large,AVERAGE,16530,9201,7150,2051,19672,12587,10866,1721
50cc50rnd,50cc50rnd_small,50cc50rnd_000,9740,9647,6927,2720,13143,12996,9918,3078
50cc50rnd,50cc50rnd_small,50cc50rnd_050,9740,8957,6068,2889,13143,12521,9119,3402
50cc50rnd,50cc50rnd_small,50cc50rnd_100,9740,8699,4745,3954,13143,12213,7914,4299
50cc50rnd,50cc50rnd_small,AVERAGE,9740,9101,5913,3187,13143,12576,8983,3593
50cc50rnd,50cc50rnd_medium,50cc50rnd_000,11250,9647,7452,2195,14884,12996,10674,2322
50cc50rnd,50cc50rnd_medium,50cc50rnd_050,11250,8957,6521,2436,14884,12521,9783,2738
50cc50rnd,50cc50rnd_medium,50cc50rnd_100,11250,8699,5093,3606,14884,12213,8531,3682
50cc50rnd,50cc50rnd_medium,AVERAGE,11250,9101,6355,2745,14884,12576,9662,2914
50cc50rnd,50cc50rnd_large,50cc50rnd_000,15389,9647,8307,1340,18951,12996,11844,1152
50cc50rnd,50cc50rnd_large,50cc50rnd_050,15389,8957,7297,1660,18951,12521,10910,1611
50cc50rnd,50cc50rnd_large,50cc50rnd_100,15389,8699,5714,2985,18951,12213,9593,2620
50cc50rnd,50cc50rnd_large,AVERAGE,15389,9101,7106,1995,18951,12576,10782,1794
80cc20rnd,80cc20rnd_small,80cc20rnd_000,9311,8792,6635,2157,12460,12226,9506,2720
80cc20rnd,80cc20rnd_small,80cc20rnd_050,9311,8313,5603,2710,12460,11662,8447,3215
80cc20rnd,80cc20rnd_small,80cc20rnd_100,9311,7735,4283,3452,12460,11023,7086,3937
80cc20rnd,80cc20rnd_small,AVERAGE,9311,8280,5507,2773,12460,11637,8346,3290
80cc20rnd,80cc20rnd_medium,80cc20rnd_000,10589,8792,7104,1688,14092,12226,10198,2028
80cc20rnd,80cc20rnd_medium,80cc20rnd_050,10589,8313,5997,2316,14092,11662,9049,2613
80cc20rnd,80cc20rnd_medium,80cc20rnd_100,10589,7735,4562,3173,14092,11023,7600,3423
80cc20rnd,80cc20rnd_medium,AVERAGE,10589,8280,5887,2392,14092,11637,8949,2688
80cc20rnd,80cc20rnd_large,80cc20rnd_000,13665,8792,7778,1014,17627,12226,11176,1050
80cc20rnd,80cc20rnd_large,80cc20rnd_050,13665,8313,6574,1739,17627,11662,9971,1691
80cc20rnd,80cc20rnd_large,80cc20rnd_100,13665,7735,5011,2724,17627,11023,8502,2521
80cc20rnd,80cc20rnd_large,AVERAGE,13665,8280,6454,1825,17627,11637,9883,1754
