model,language,cc,size,un,seed,n_prediction_rows,n_gold_rows,n_matched,n_unmatched_prediction_only,n_unmatched_gold_only
hiergat,de,20cc80rnd,large,000un,0,4478,4454,4454,24,0
hiergat,de,20cc80rnd,large,050un,0,4455,4429,4429,26,0
hiergat,de,20cc80rnd,large,100un,0,4459,4449,4449,10,0
hiergat,de,20cc80rnd,large,000un,1,4478,4454,4454,24,0
hiergat,de,20cc80rnd,large,050un,1,4455,4429,4429,26,0
hiergat,de,20cc80rnd,large,100un,1,4459,4449,4449,10,0
hiergat,de,20cc80rnd,large,000un,2,4478,4454,4454,24,0
hiergat,de,20cc80rnd,large,050un,2,4455,4429,4429,26,0
hiergat,de,20cc80rnd,large,100un,2,4459,4449,4449,10,0
hiergat,de,50cc50rnd,large,000un,0,4470,4427,4427,43,0
hiergat,de,50cc50rnd,large,050un,0,4466,4418,4418,48,0
hiergat,de,50cc50rnd,large,100un,0,4479,4458,4458,21,0
hiergat,de,50cc50rnd,large,000un,1,4470,4427,4427,43,0
hiergat,de,50cc50rnd,large,050un,1,4466,4418,4418,48,0
hiergat,de,50cc50rnd,large,100un,1,4479,4458,4458,21,0
hiergat,de,80cc20rnd,large,000un,0,4474,4440,4440,34,0
hiergat,de,80cc20rnd,large,050un,0,4470,4437,4437,33,0
hiergat,de,80cc20rnd,large,100un,0,4463,4447,4447,16,0
hiergat,de,80cc20rnd,large,000un,1,4474,4440,4440,34,0
hiergat,de,80cc20rnd,large,050un,1,4470,4437,4437,33,0
hiergat,de,80cc20rnd,large,100un,1,4463,4447,4447,16,0
hiergat,de,80cc20rnd,large,000un,2,4474,4440,4440,34,0
hiergat,de,80cc20rnd,large,050un,2,4470,4437,4437,33,0
hiergat,de,80cc20rnd,large,100un,2,4463,4447,4447,16,0
hiergat,de,20cc80rnd,medium,000un,0,4478,4454,4454,24,0
hiergat,de,20cc80rnd,medium,050un,0,4455,4429,4429,26,0
hiergat,de,20cc80rnd,medium,100un,0,4459,4449,4449,10,0
hiergat,de,20cc80rnd,medium,000un,1,4478,4454,4454,24,0
hiergat,de,20cc80rnd,medium,050un,1,4455,4429,4429,26,0
hiergat,de,20cc80rnd,medium,100un,1,4459,4449,4449,10,0
hiergat,de,20cc80rnd,medium,000un,2,4478,4454,4454,24,0
hiergat,de,20cc80rnd,medium,050un,2,4455,4429,4429,26,0
hiergat,de,20cc80rnd,medium,100un,2,4459,4449,4449,10,0
hiergat,de,50cc50rnd,medium,000un,0,4470,4427,4427,43,0
hiergat,de,50cc50rnd,medium,050un,0,4466,4418,4418,48,0
hiergat,de,50cc50rnd,medium,100un,0,4479,4458,4458,21,0
hiergat,de,50cc50rnd,medium,000un,1,4470,4427,4427,43,0
hiergat,de,50cc50rnd,medium,050un,1,4466,4418,4418,48,0
hiergat,de,50cc50rnd,medium,100un,1,4479,4458,4458,21,0
hiergat,de,50cc50rnd,medium,000un,2,4470,4427,4427,43,0
hiergat,de,50cc50rnd,medium,050un,2,4466,4418,4418,48,0
hiergat,de,50cc50rnd,medium,100un,2,4479,4458,4458,21,0
hiergat,de,80cc20rnd,medium,000un,0,4474,4440,4440,34,0
hiergat,de,80cc20rnd,medium,050un,0,4470,4437,4437,33,0
hiergat,de,80cc20rnd,medium,100un,0,4463,4447,4447,16,0
hiergat,de,80cc20rnd,medium,000un,1,4474,4440,4440,34,0
hiergat,de,80cc20rnd,medium,050un,1,4470,4437,4437,33,0
hiergat,de,80cc20rnd,medium,100un,1,4463,4447,4447,16,0
hiergat,de,80cc20rnd,medium,000un,2,4474,4440,4440,34,0
hiergat,de,80cc20rnd,medium,050un,2,4470,4437,4437,33,0
hiergat,de,80cc20rnd,medium,100un,2,4463,4447,4447,16,0
hiergat,de,20cc80rnd,small,000un,0,4478,4454,4454,24,0
hiergat,de,20cc80rnd,small,050un,0,4455,4429,4429,26,0
hiergat,de,20cc80rnd,small,100un,0,4459,4449,4449,10,0
hiergat,de,20cc80rnd,small,000un,1,4478,4454,4454,24,0
hiergat,de,20cc80rnd,small,050un,1,4455,4429,4429,26,0
hiergat,de,20cc80rnd,small,100un,1,4459,4449,4449,10,0
hiergat,de,20cc80rnd,small,000un,2,4478,4454,4454,24,0
hiergat,de,20cc80rnd,small,050un,2,4455,4429,4429,26,0
hiergat,de,20cc80rnd,small,100un,2,4459,4449,4449,10,0
hiergat,de,50cc50rnd,small,000un,0,4470,4427,4427,43,0
hiergat,de,50cc50rnd,small,050un,0,4466,4418,4418,48,0
hiergat,de,50cc50rnd,small,100un,0,4479,4458,4458,21,0
hiergat,de,50cc50rnd,small,000un,1,4470,4427,4427,43,0
hiergat,de,50cc50rnd,small,050un,1,4466,4418,4418,48,0
hiergat,de,50cc50rnd,small,100un,1,4479,4458,4458,21,0
hiergat,de,50cc50rnd,small,000un,2,4470,4427,4427,43,0
hiergat,de,50cc50rnd,small,050un,2,4466,4418,4418,48,0
hiergat,de,50cc50rnd,small,100un,2,4479,4458,4458,21,0
hiergat,de,80cc20rnd,small,000un,0,4474,4440,4440,34,0
hiergat,de,80cc20rnd,small,050un,0,4470,4437,4437,33,0
hiergat,de,80cc20rnd,small,100un,0,4463,4447,4447,16,0
hiergat,de,80cc20rnd,small,000un,1,4474,4440,4440,34,0
hiergat,de,80cc20rnd,small,050un,1,4470,4437,4437,33,0
hiergat,de,80cc20rnd,small,100un,1,4463,4447,4447,16,0
hiergat,de,80cc20rnd,small,000un,2,4474,4440,4440,34,0
hiergat,de,80cc20rnd,small,050un,2,4470,4437,4437,33,0
hiergat,de,80cc20rnd,small,100un,2,4463,4447,4447,16,0
hiergat,en,20cc80rnd,large,000un,0,4478,4454,4454,24,0
hiergat,en,20cc80rnd,large,050un,0,4455,4429,4429,26,0
hiergat,en,20cc80rnd,large,100un,0,4459,4449,4449,10,0
hiergat,en,20cc80rnd,large,000un,1,4478,4454,4454,24,0
hiergat,en,20cc80rnd,large,050un,1,4455,4429,4429,26,0
hiergat,en,20cc80rnd,large,100un,1,4459,4449,4449,10,0
hiergat,en,20cc80rnd,large,000un,2,4478,4454,4454,24,0
hiergat,en,20cc80rnd,large,050un,2,4455,4429,4429,26,0
hiergat,en,20cc80rnd,large,100un,2,4459,4449,4449,10,0
hiergat,en,50cc50rnd,large,000un,0,4470,4427,4427,43,0
hiergat,en,50cc50rnd,large,050un,0,4466,4418,4418,48,0
