model,language,cc,size,un,seed,precision,recall,f1,n_pairs,n_unmatched
ditto,de,20cc80rnd,large,000un,0,80.12684989429175,93.12039312039312,86.13636363636363,4454,24
ditto,de,20cc80rnd,large,000un,1,80.2547770700637,92.87469287469288,86.10478359908885,4454,24
ditto,de,20cc80rnd,large,000un,2,80.9322033898305,93.85749385749385,86.91695108077361,4454,24
ditto,de,20cc80rnd,large,050un,0,55.447154471544714,96.875,70.52740434332989,4429,26
ditto,de,20cc80rnd,large,050un,1,53.87045813586098,96.875,69.23857868020305,4429,26
ditto,de,20cc80rnd,large,050un,2,52.2342064714946,96.30681818181817,67.73226773226774,4429,26
ditto,de,20cc80rnd,large,100un,0,41.94711538461539,96.94444444444444,58.55704697986577,4449,10
ditto,de,20cc80rnd,large,100un,1,39.66101694915255,97.5,56.3855421686747,4449,10
ditto,de,20cc80rnd,large,100un,2,39.50617283950617,97.77777777777777,56.27498001598721,4449,10
ditto,de,20cc80rnd,medium,000un,0,74.30278884462152,91.64619164619164,82.06820682068206,4454,24
ditto,de,20cc80rnd,medium,000un,1,80.65934065934066,90.17199017199017,85.1508120649652,4454,24
ditto,de,20cc80rnd,medium,000un,2,79.04967602591793,89.92628992628993,84.13793103448276,4454,24
ditto,de,20cc80rnd,medium,050un,0,50.38167938931297,93.75,65.54121151936445,4429,26
ditto,de,20cc80rnd,medium,050un,1,47.82608695652174,93.75,63.339731285988485,4429,26
ditto,de,20cc80rnd,medium,050un,2,57.74647887323944,93.18181818181817,71.30434782608695,4429,26
ditto,de,20cc80rnd,medium,100un,0,39.27765237020316,96.66666666666667,55.85874799357945,4449,10
ditto,de,20cc80rnd,medium,100un,1,36.64529914529914,95.27777777777777,52.9320987654321,4449,10
ditto,de,20cc80rnd,medium,100un,2,45.68733153638814,94.16666666666667,61.524500907441016,4449,10
ditto,de,20cc80rnd,small,000un,0,61.36363636363637,92.87469287469288,73.90029325513197,4454,24
ditto,de,20cc80rnd,small,000un,1,63.59060402684564,93.12039312039312,75.57328015952145,4454,24
ditto,de,20cc80rnd,small,000un,2,52.266288951841354,90.66339066339066,66.30727762803235,4454,24
ditto,de,20cc80rnd,small,050un,0,43.29896907216495,95.45454545454545,59.57446808510638,4429,26
ditto,de,20cc80rnd,small,050un,1,47.53173483779972,95.73863636363636,63.524976437323275,4429,26
ditto,de,20cc80rnd,small,050un,2,39.73589435774309,94.0340909090909,55.86497890295359,4429,26
ditto,de,20cc80rnd,small,100un,0,34.883720930232556,95.83333333333334,51.14899925871016,4449,10
ditto,de,20cc80rnd,small,100un,1,37.33480176211454,94.16666666666667,53.47003154574133,4449,10
ditto,de,20cc80rnd,small,100un,2,32.30472516875603,93.05555555555556,47.95991410164638,4449,10
ditto,de,50cc50rnd,large,000un,0,73.69614512471655,89.28571428571429,80.74534161490683,4427,43
ditto,de,50cc50rnd,large,000un,1,70.33898305084746,91.20879120879121,79.42583732057416,4427,43
ditto,de,50cc50rnd,large,000un,2,76.76056338028168,89.83516483516483,82.78481012658227,4427,43
ditto,de,50cc50rnd,large,050un,0,50.32258064516129,90.17341040462428,64.59627329192547,4418,48
ditto,de,50cc50rnd,large,050un,1,48.61963190184049,91.61849710982659,63.52705410821643,4418,48
ditto,de,50cc50rnd,large,050un,2,50.15873015873016,91.32947976878613,64.75409836065575,4418,48
ditto,de,50cc50rnd,large,100un,0,38.22843822843823,88.88888888888889,53.463732681336595,4458,21
ditto,de,50cc50rnd,large,100un,1,35.237068965517246,88.6178861788618,50.424055512721665,4458,21
ditto,de,50cc50rnd,large,100un,2,37.6,89.15989159891599,52.89389067524116,4458,21
ditto,de,50cc50rnd,medium,000un,0,65.39278131634819,84.61538461538461,73.77245508982035,4427,43
ditto,de,50cc50rnd,medium,000un,1,66.45569620253164,86.53846153846155,75.17899761336515,4427,43
ditto,de,50cc50rnd,medium,000un,2,71.59904534606206,82.41758241758241,76.62835249042146,4427,43
ditto,de,50cc50rnd,medium,050un,0,46.094946401225116,86.9942196531792,60.26026026026025,4418,48
ditto,de,50cc50rnd,medium,050un,1,49.506578947368425,86.9942196531792,63.102725366876314,4418,48
ditto,de,50cc50rnd,medium,050un,2,49.140893470790374,82.65895953757226,61.63793103448276,4418,48
ditto,de,50cc50rnd,medium,100un,0,37.222870478413064,86.44986449864498,52.039151712887445,4458,21
ditto,de,50cc50rnd,medium,100un,1,39.10950661853189,88.07588075880759,54.166666666666664,4458,21
ditto,de,50cc50rnd,medium,100un,2,39.48051948051948,82.38482384823848,53.380158033362605,4458,21
ditto,de,50cc50rnd,small,000un,0,23.890063424947147,93.13186813186813,38.025799214806504,4427,43
ditto,de,50cc50rnd,small,000un,1,48.45201238390093,85.98901098901099,61.98019801980198,4427,43
ditto,de,50cc50rnd,small,000un,2,53.50877192982456,83.79120879120879,65.31049250535332,4427,43
ditto,de,50cc50rnd,small,050un,0,22.229822161422707,93.9306358381503,35.951327433628315,4418,48
ditto,de,50cc50rnd,small,050un,1,37.61006289308176,86.41618497109826,52.41016652059597,4418,48
ditto,de,50cc50rnd,small,050un,2,42.42857142857142,85.83815028901735,56.787762906309744,4418,48
ditto,de,50cc50rnd,small,100un,0,20.05847953216374,92.95392953929539,32.996632996633,4458,21
ditto,de,50cc50rnd,small,100un,1,31.752178121974833,88.88888888888889,46.79029957203994,4458,21
ditto,de,50cc50rnd,small,100un,2,34.43181818181818,82.11382113821138,48.51881505204163,4458,21
ditto,de,80cc20rnd,large,000un,0,67.23716381418093,80.4093567251462,73.23568575233023,4440,34
ditto,de,80cc20rnd,large,000un,3,63.53211009174312,80.99415204678363,71.2082262210797,4440,34
ditto,de,80cc20rnd,large,000un,4,63.21585903083701,83.91812865497076,72.11055276381909,4440,34
ditto,de,80cc20rnd,large,050un,0,52.293577981651374,78.94736842105263,62.913907284768214,4437,33
ditto,de,80cc20rnd,large,050un,3,49.66216216216216,81.4404432132964,61.69989506820567,4437,33
ditto,de,80cc20rnd,large,050un,4,51.82608695652174,82.54847645429363,63.67521367521367,4437,33
ditto,de,80cc20rnd,large,100un,0,38.662790697674424,76.4367816091954,51.35135135135135,4447,16
ditto,de,80cc20rnd,large,100un,3,34.60076045627377,78.44827586206897,48.02110817941953,4447,16
ditto,de,80cc20rnd,large,100un,4,37.368421052631575,81.60919540229885,51.26353790613718,4447,16
ditto,de,80cc20rnd,medium,000un,0,52.82685512367491,87.42690058479532,65.85903083700441,4440,34
ditto,de,80cc20rnd,medium,000un,1,62.66968325791855,80.99415204678363,70.66326530612244,4440,34
ditto,de,80cc20rnd,medium,000un,2,55.55555555555556,84.7953216374269,67.12962962962963,4440,34
ditto,de,80cc20rnd,medium,050un,0,41.6,86.42659279778393,56.165616561656165,4437,33
ditto,de,80cc20rnd,medium,050un,1,49.49152542372882,80.88642659279779,61.40904311251314,4437,33
ditto,de,80cc20rnd,medium,050un,2,45.18518518518518,84.48753462603878,58.88030888030889,4437,33
ditto,de,80cc20rnd,medium,100un,0,32.53012048192771,85.34482758620689,47.105471847739885,4447,16
ditto,de,80cc20rnd,medium,100un,1,37.861271676300575,75.28735632183908,50.38461538461539,4447,16
ditto,de,80cc20rnd,medium,100un,2,33.6734693877551,85.34482758620689,48.292682926829265,4447,16
ditto,de,80cc20rnd,small,000un,0,40.333796940194716,84.7953216374269,54.66540999057493,4440,34
ditto,de,80cc20rnd,small,000un,1,40.10914051841746,85.96491228070175,54.69767441860465,4440,34
ditto,de,80cc20rnd,small,000un,2,43.63354037267081,82.16374269005848,56.99797160243407,4440,34
ditto,de,80cc20rnd,small,050un,0,33.70786516853933,83.10249307479224,47.961630695443645,4437,33
ditto,de,80cc20rnd,small,050un,1,34.61975028376845,84.48753462603878,49.11433172302738,4437,33
ditto,de,80cc20rnd,small,050un,2,33.52941176470588,78.94736842105263,47.06853839801817,4437,33
ditto,de,80cc20rnd,small,100un,0,28.76984126984127,83.33333333333334,42.772861356932154,4447,16
ditto,de,80cc20rnd,small,100un,1,30.171543895055496,85.91954022988506,44.66019417475729,4447,16
ditto,de,80cc20rnd,small,100un,2,27.976190476190478,81.03448275862068,41.5929203539823,4447,16
ditto,en,20cc80rnd,large,000un,0,82.86334056399133,93.85749385749385,88.0184331797235,4454,24
ditto,en,20cc80rnd,large,000un,1,83.8495575221239,93.12039312039312,88.24214202561119,4454,24
ditto,en,20cc80rnd,large,000un,2,83.66013071895425,94.34889434889435,88.68360277136259,4454,24
ditto,en,20cc80rnd,large,050un,0,54.93421052631579,94.88636363636364,69.58333333333333,4429,26
ditto,en,20cc80rnd,large,050un,1,58.82352941176471,96.5909090909091,73.11827956989248,4429,26
ditto,en,20cc80rnd,large,050un,2,55.72139303482587,95.45454545454545,70.36649214659685,4429,26
ditto,en,20cc80rnd,large,100un,0,42.168674698795186,97.22222222222221,58.82352941176471,4449,10
ditto,en,20cc80rnd,large,100un,1,45.2319587628866,97.5,61.79577464788733,4449,10
ditto,en,20cc80rnd,large,100un,2,43.13725490196079,97.77777777777777,59.863945578231295,4449,10
ditto,en,20cc80rnd,medium,000un,0,78.37837837837837,92.62899262899262,84.90990990990991,4454,24
ditto,en,20cc80rnd,medium,000un,1,80.29661016949152,93.12039312039312,86.23435722411831,4454,24
ditto,en,20cc80rnd,medium,000un,2,81.71806167400881,91.15479115479116,86.1788617886179,4454,24
ditto,en,20cc80rnd,medium,050un,0,52.79503105590062,96.5909090909091,68.27309236947792,4429,26
ditto,en,20cc80rnd,medium,050un,1,54.64743589743589,96.875,69.87704918032787,4429,26
ditto,en,20cc80rnd,medium,050un,2,56.558773424190804,94.31818181818183,70.71352502662407,4429,26
ditto,en,20cc80rnd,medium,100un,0,39.33865450399088,95.83333333333334,55.78011317704122,4449,10
ditto,en,20cc80rnd,medium,100un,1,43.44059405940594,97.5,60.1027397260274,4449,10
ditto,en,20cc80rnd,medium,100un,2,44.70588235294118,95.0,60.8,4449,10
ditto,en,20cc80rnd,small,000un,0,69.10112359550563,90.66339066339066,78.42720510095643,4454,24
ditto,en,20cc80rnd,small,000un,1,68.53526220614829,93.12039312039312,78.95833333333333,4454,24
ditto,en,20cc80rnd,small,000un,2,68.4981684981685,91.8918918918919,78.48898216159496,4454,24
ditto,en,20cc80rnd,small,050un,0,50.755287009063444,95.45454545454545,66.27218934911244,4429,26
ditto,en,20cc80rnd,small,050un,1,47.60522496371553,93.18181818181817,63.016330451488955,4429,26
ditto,en,20cc80rnd,small,050un,2,53.07086614173229,95.73863636363636,68.28774062816616,4429,26
ditto,en,20cc80rnd,small,100un,0,40.069284064665126,96.38888888888889,56.6068515497553,4449,10
ditto,en,20cc80rnd,small,100un,1,38.91402714932127,95.55555555555556,55.30546623794213,4449,10
ditto,en,20cc80rnd,small,100un,2,40.77201447527141,93.88888888888889,56.854499579478556,4449,10
ditto,en,50cc50rnd,large,000un,0,73.53579175704989,93.13186813186813,82.18181818181817,4427,43
ditto,en,50cc50rnd,large,000un,1,70.88607594936708,92.3076923076923,80.1909307875895,4427,43
ditto,en,50cc50rnd,large,000un,2,73.54260089686099,90.10989010989012,80.98765432098766,4427,43
ditto,en,50cc50rnd,large,050un,0,48.888888888888886,95.37572254335261,64.64250734573947,4418,48
ditto,en,50cc50rnd,large,050un,1,47.92560801144492,96.82080924855492,64.11483253588517,4418,48
ditto,en,50cc50rnd,large,050un,2,49.30232558139535,91.90751445086705,64.17759838546922,4418,48
ditto,en,50cc50rnd,large,100un,0,37.55411255411256,94.03794037940379,53.67362722351121,4458,21
ditto,en,50cc50rnd,large,100un,1,34.65739821251241,94.579945799458,50.72674418604651,4458,21
ditto,en,50cc50rnd,large,100un,2,38.24521934758155,92.14092140921409,54.054054054054056,4458,21
ditto,en,50cc50rnd,medium,000un,0,64.49136276391555,92.3076923076923,75.9322033898305,4427,43
ditto,en,50cc50rnd,medium,000un,1,65.7258064516129,89.56043956043956,75.81395348837209,4427,43
ditto,en,50cc50rnd,medium,000un,2,64.92248062015504,92.03296703296702,76.13636363636364,4427,43
ditto,en,50cc50rnd,medium,050un,0,45.095367847411445,95.66473988439307,61.29629629629629,4418,48
ditto,en,50cc50rnd,medium,050un,1,48.79154078549849,93.35260115606935,64.0873015873016,4418,48
ditto,en,50cc50rnd,medium,050un,2,45.23470839260313,91.90751445086705,60.62917063870352,4418,48
ditto,en,50cc50rnd,medium,100un,0,37.95698924731183,95.6639566395664,54.349499615088526,4458,21
ditto,en,50cc50rnd,medium,100un,1,39.561707035755475,92.95392953929539,55.50161812297735,4458,21
ditto,en,50cc50rnd,medium,100un,2,36.353944562899784,92.41192411924119,52.1805661820964,4458,21
ditto,en,50cc50rnd,small,000un,0,8.222272419245538,100.0,15.195157587142557,4427,43
ditto,en,50cc50rnd,small,000un,1,22.760800842992623,59.34065934065934,32.901751713632905,4427,43
ditto,en,50cc50rnd,small,000un,2,52.34375,92.03296703296702,66.73306772908366,4427,43
