model,language,size,test,seed,precision,recall,f1,n_pairs,n_dropped_predictions
roberta_bs32_full,de,small,Seen,0,32.63041065482797,85.96491228070175,47.30490748189863,4440,0
roberta_bs32_full,de,small,Half-Seen,0,26.182432432432435,85.87257617728532,40.1294498381877,4437,0
roberta_bs32_full,de,small,Unseen,0,21.428571428571427,86.20689655172413,34.32494279176201,4447,0
roberta_bs32_full,de,small,Seen,1,24.705882352941178,6.140350877192982,9.836065573770492,4440,0
roberta_bs32_full,de,small,Half-Seen,1,17.391304347826086,3.32409972299169,5.5813953488372094,4437,0
roberta_bs32_full,de,small,Unseen,1,21.686746987951807,5.172413793103448,8.352668213457076,4447,0
roberta_bs32_full,de,small,Seen,2,31.44208037825059,77.77777777777779,44.78114478114478,4440,0
roberta_bs32_full,de,small,Half-Seen,2,25.48330404217926,80.33240997229917,38.69246164109407,4437,0
roberta_bs32_full,de,small,Unseen,2,22.288261515601786,86.20689655172413,35.41912632821723,4447,0
roberta_bs32_full,de,small,Seen,3,37.194337194337194,84.50292397660819,51.653261840929396,4440,0
roberta_bs32_full,de,small,Half-Seen,3,30.85427135678392,85.0415512465374,45.28023598820059,4437,0
roberta_bs32_full,de,small,Unseen,3,27.75768535262206,88.2183908045977,42.2283356258597,4447,0
roberta_bs32_full,de,medium,Seen,0,55.13307984790875,84.7953216374269,66.82027649769586,4440,0
roberta_bs32_full,de,medium,Half-Seen,0,38.75476493011436,84.48753462603878,53.13588850174216,4437,0
roberta_bs32_full,de,medium,Unseen,0,28.669275929549904,84.19540229885058,42.77372262773723,4447,0
roberta_bs32_full,de,medium,Seen,1,50.77452667814114,86.25730994152046,63.92199349945828,4440,0
roberta_bs32_full,de,medium,Half-Seen,1,37.86764705882353,85.59556786703601,52.506372132540356,4437,0
roberta_bs32_full,de,medium,Unseen,1,28.14538676607642,86.7816091954023,42.50527797325827,4447,0
roberta_bs32_full,de,medium,Seen,2,49.035369774919616,89.18128654970761,63.278008298755196,4440,0
roberta_bs32_full,de,medium,Half-Seen,2,41.123882503192846,89.19667590027701,56.29370629370629,4437,0
roberta_bs32_full,de,medium,Unseen,2,30.8300395256917,89.65517241379311,45.88235294117647,4447,0
roberta_bs32_full,de,large,Seen,0,59.4488188976378,88.30409356725146,71.05882352941177,4440,0
roberta_bs32_full,de,large,Half-Seen,0,47.41641337386018,86.42659279778393,61.236506378802744,4437,0
roberta_bs32_full,de,large,Unseen,0,33.05288461538461,79.02298850574712,46.61016949152542,4447,0
roberta_bs32_full,de,large,Seen,1,60.30245746691871,93.27485380116958,73.24913892078071,4440,0
roberta_bs32_full,de,large,Half-Seen,1,44.505494505494504,89.75069252077562,59.50413223140495,4437,0
roberta_bs32_full,de,large,Unseen,1,30.923694779116467,88.50574712643679,45.833333333333336,4447,0
roberta_bs32_full,de,large,Seen,2,60.9375,91.22807017543859,73.0679156908665,4440,0
roberta_bs32_full,de,large,Half-Seen,2,42.03655352480418,89.19667590027701,57.14285714285715,4437,0
roberta_bs32_full,de,large,Unseen,2,28.584310189359783,91.0919540229885,43.51407000686343,4447,0
roberta_bs32_full,en,small,Seen,0,42.68292682926829,81.87134502923976,56.1122244488978,4440,0
roberta_bs32_full,en,small,Half-Seen,0,32.28180862250263,85.0415512465374,46.79878048780488,4437,0
roberta_bs32_full,en,small,Unseen,0,25.71428571428571,87.93103448275862,39.791937581274375,4447,0
roberta_bs32_full,en,small,Seen,1,44.3609022556391,86.25730994152046,58.58987090367428,4440,0
roberta_bs32_full,en,small,Half-Seen,1,34.0958605664488,86.70360110803324,48.94448788115715,4437,0
roberta_bs32_full,en,small,Unseen,1,27.934485896269333,88.2183908045977,42.43261921216309,4447,0
roberta_bs32_full,en,small,Seen,2,41.75334323922734,82.16374269005848,55.36945812807882,4440,0
roberta_bs32_full,en,small,Half-Seen,2,33.8337182448037,81.16343490304709,47.758761206193974,4437,0
roberta_bs32_full,en,small,Unseen,2,29.64071856287425,85.34482758620689,44.0,4447,0
