category_pair,f1,total_count,cc,un,size,run_id
Möbel & Wohnen | Möbel & Wohnen,0.703030303030303,634,80,000,large,0
Kleidung & Accessoires | Kleidung & Accessoires,0.6433566433566433,562,80,000,large,0
Elektronik & Computer | Elektronik & Computer,0.8958333333333334,333,80,000,large,0
Elektronik & Computer | Möbel & Wohnen,0.782608695652174,305,80,000,large,0
Kleidung & Accessoires | Möbel & Wohnen,0.75,227,80,000,large,0
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.8533333333333334,224,80,000,large,0
Elektronik & Computer | Kleidung & Accessoires,0.45454545454545453,189,80,000,large,0
Möbel & Wohnen | Werkzeug & Baumarkt,0.7,165,80,000,large,0
Kleidung & Accessoires | Sport & Freizeit,0.4,144,80,000,large,0
Spielzeug & Baby | Spielzeug & Baby,0.88,139,80,000,large,0
Kleidung & Accessoires | Werkzeug & Baumarkt,0.6666666666666666,116,80,000,large,0
Sport & Freizeit | Sport & Freizeit,0.6875,94,80,000,large,0
Auto & Motorrad | Auto & Motorrad,0.6363636363636364,88,80,000,large,0
Elektronik & Computer | Werkzeug & Baumarkt,0.5,87,80,000,large,0
Auto & Motorrad | Sport & Freizeit,0.19047619047619047,79,80,000,large,0
Möbel & Wohnen | Sport & Freizeit,0.0,70,80,000,large,0
Elektronik & Computer | Spielzeug & Baby,1.0,61,80,000,large,0
Auto & Motorrad | Kleidung & Accessoires,0.0,59,80,000,large,0
Möbel & Wohnen | Spielzeug & Baby,0.0,59,80,000,large,0
Kleidung & Accessoires | Spielzeug & Baby,0.0,55,80,000,large,0
Auto & Motorrad | Möbel & Wohnen,0.0,51,80,000,large,0
Elektronik & Computer | Sport & Freizeit,0.0,50,80,000,large,0
Kosmetik & Drogerie | Kosmetik & Drogerie,0.6153846153846154,48,80,000,large,0
Kosmetik & Drogerie | Möbel & Wohnen,1.0,40,80,000,large,0
Auto & Motorrad | Elektronik & Computer,1.0,39,80,000,large,0
Gesundheit & Pflege | Kosmetik & Drogerie,0.8,35,80,000,large,0
"Bücher, Filme & Musik | Spielzeug & Baby",0.7692307692307693,34,80,000,large,0
Gesundheit & Pflege | Möbel & Wohnen,1.0,33,80,000,large,0
Elektronik & Computer | Kosmetik & Drogerie,0.0,32,80,000,large,0
Spielzeug & Baby | Werkzeug & Baumarkt,0.0,31,80,000,large,0
Auto & Motorrad | Werkzeug & Baumarkt,1.0,27,80,000,large,0
Sport & Freizeit | Werkzeug & Baumarkt,0.0,25,80,000,large,0
Auto & Motorrad | Spielzeug & Baby,1.0,25,80,000,large,0
Gesundheit & Pflege | Kleidung & Accessoires,0.0,21,80,000,large,0
Gesundheit & Pflege | Gesundheit & Pflege,1.0,21,80,000,large,0
Kleidung & Accessoires | Kosmetik & Drogerie,1.0,21,80,000,large,0
Elektronik & Computer | Lebensmittel & Getränke,1.0,20,80,000,large,0
Spielzeug & Baby | Sport & Freizeit,0.0,20,80,000,large,0
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,18,80,000,large,0
Lebensmittel & Getränke | Möbel & Wohnen,0.0,18,80,000,large,0
Elektronik & Computer | Gesundheit & Pflege,0.0,18,80,000,large,0
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,16,80,000,large,0
Bürobedarf | Möbel & Wohnen,0.0,14,80,000,large,0
"Bücher, Filme & Musik | Kleidung & Accessoires",0.0,12,80,000,large,0
"Bücher, Filme & Musik | Bücher, Filme & Musik",1.0,9,80,000,large,0
Gesundheit & Pflege | Spielzeug & Baby,0.0,7,80,000,large,0
Auto & Motorrad | Kosmetik & Drogerie,0.0,7,80,000,large,0
Gesundheit & Pflege | Lebensmittel & Getränke,0.0,6,80,000,large,0
