category_pair,f1,total_count,cc,un,size,run_id
Kleidung & Accessoires | Kleidung & Accessoires,0.5057471264367817,894,20,050,small,0
Möbel & Wohnen | Möbel & Wohnen,0.5726872246696035,529,20,050,small,0
Kleidung & Accessoires | Möbel & Wohnen,0.6,339,20,050,small,0
Elektronik & Computer | Kleidung & Accessoires,0.6666666666666666,240,20,050,small,0
Elektronik & Computer | Möbel & Wohnen,0.875,207,20,050,small,0
Elektronik & Computer | Elektronik & Computer,0.9032258064516129,191,20,050,small,0
Kleidung & Accessoires | Sport & Freizeit,0.5,184,20,050,small,0
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.8307692307692308,161,20,050,small,0
Möbel & Wohnen | Werkzeug & Baumarkt,0.48,137,20,050,small,0
Kleidung & Accessoires | Werkzeug & Baumarkt,0.5,126,20,050,small,0
Auto & Motorrad | Auto & Motorrad,0.5714285714285714,108,20,050,small,0
Kleidung & Accessoires | Kosmetik & Drogerie,1.0,101,20,050,small,0
Möbel & Wohnen | Spielzeug & Baby,0.47058823529411764,81,20,050,small,0
Elektronik & Computer | Werkzeug & Baumarkt,0.8571428571428571,77,20,050,small,0
Kleidung & Accessoires | Spielzeug & Baby,0.0,72,20,050,small,0
Auto & Motorrad | Kleidung & Accessoires,0.0,71,20,050,small,0
Möbel & Wohnen | Sport & Freizeit,0.8,68,20,050,small,0
Kosmetik & Drogerie | Kosmetik & Drogerie,0.5357142857142857,66,20,050,small,0
Spielzeug & Baby | Spielzeug & Baby,0.6511627906976745,62,20,050,small,0
Kosmetik & Drogerie | Möbel & Wohnen,0.5,59,20,050,small,0
Gesundheit & Pflege | Möbel & Wohnen,1.0,44,20,050,small,0
Auto & Motorrad | Möbel & Wohnen,1.0,39,20,050,small,0
Sport & Freizeit | Sport & Freizeit,0.8235294117647058,39,20,050,small,0
Elektronik & Computer | Spielzeug & Baby,0.0,38,20,050,small,0
Elektronik & Computer | Sport & Freizeit,1.0,38,20,050,small,0
Elektronik & Computer | Kosmetik & Drogerie,0.5,36,20,050,small,0
Gesundheit & Pflege | Kleidung & Accessoires,0.0,32,20,050,small,0
Gesundheit & Pflege | Kosmetik & Drogerie,0.8571428571428571,31,20,050,small,0
Auto & Motorrad | Elektronik & Computer,0.0,29,20,050,small,0
Sport & Freizeit | Werkzeug & Baumarkt,1.0,25,20,050,small,0
Kosmetik & Drogerie | Werkzeug & Baumarkt,1.0,22,20,050,small,0
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,19,20,050,small,0
Spielzeug & Baby | Werkzeug & Baumarkt,0.0,19,20,050,small,0
Auto & Motorrad | Werkzeug & Baumarkt,0.0,17,20,050,small,0
Auto & Motorrad | Sport & Freizeit,0.0,17,20,050,small,0
Gesundheit & Pflege | Gesundheit & Pflege,1.0,16,20,050,small,0
Kleidung & Accessoires | Lebensmittel & Getränke,0.0,15,20,050,small,0
Bürobedarf | Kleidung & Accessoires,1.0,15,20,050,small,0
Kosmetik & Drogerie | Sport & Freizeit,0.0,14,20,050,small,0
Lebensmittel & Getränke | Möbel & Wohnen,0.8571428571428571,14,20,050,small,0
Elektronik & Computer | Gesundheit & Pflege,0.0,13,20,050,small,0
Bürobedarf | Elektronik & Computer,1.0,12,20,050,small,0
Gesundheit & Pflege | Sport & Freizeit,1.0,11,20,050,small,0
Spielzeug & Baby | Sport & Freizeit,0.6666666666666666,10,20,050,small,0
Kosmetik & Drogerie | Spielzeug & Baby,0.0,8,20,050,small,0
Elektronik & Computer | Lebensmittel & Getränke,1.0,7,20,050,small,0
Bürobedarf | Möbel & Wohnen,0.0,7,20,050,small,0
Elektronik & Computer | Haustier & Tierbedarf,0.0,7,20,050,small,0
Haustier & Tierbedarf | Möbel & Wohnen,0.0,7,20,050,small,0
Lebensmittel & Getränke | Werkzeug & Baumarkt,0.0,6,20,050,small,0
Auto & Motorrad | Gesundheit & Pflege,0.0,5,20,050,small,0
Gesundheit & Pflege | Lebensmittel & Getränke,0.6666666666666666,5,20,050,small,0
Haustier & Tierbedarf | Kleidung & Accessoires,0.0,5,20,050,small,0
Gesundheit & Pflege | Spielzeug & Baby,0.0,4,20,050,small,0
Bürobedarf | Kosmetik & Drogerie,0.0,4,20,050,small,0
Lebensmittel & Getränke | Spielzeug & Baby,0.0,4,20,050,small,0
Auto & Motorrad | Haustier & Tierbedarf,0.0,4,20,050,small,0
Bürobedarf | Werkzeug & Baumarkt,0.0,4,20,050,small,0
Auto & Motorrad | Kosmetik & Drogerie,0.0,4,20,050,small,0
Lebensmittel & Getränke | Lebensmittel & Getränke,1.0,3,20,050,small,0
Auto & Motorrad | Spielzeug & Baby,0.0,3,20,050,small,0
Kosmetik & Drogerie | Lebensmittel & Getränke,1.0,3,20,050,small,0
Bürobedarf | Sport & Freizeit,0.0,3,20,050,small,0
Lebensmittel & Getränke | Sport & Freizeit,0.0,3,20,050,small,0
"Bücher, Filme & Musik | Spielzeug & Baby",0.0,2,20,050,small,0
Auto & Motorrad | Bürobedarf,0.0,2,20,050,small,0
Haustier & Tierbedarf | Werkzeug & Baumarkt,0.0,2,20,050,small,0
Bürobedarf | Spielzeug & Baby,1.0,2,20,050,small,0
"Bücher, Filme & Musik | Elektronik & Computer",0.0,2,20,050,small,0
Auto & Motorrad | Lebensmittel & Getränke,0.0,2,20,050,small,0
Haustier & Tierbedarf | Haustier & Tierbedarf,1.0,2,20,050,small,0
Bürobedarf | Lebensmittel & Getränke,0.0,1,20,050,small,0
Bürobedarf | Gesundheit & Pflege,0.0,1,20,050,small,0
Haustier & Tierbedarf | Sport & Freizeit,0.0,1,20,050,small,0
"Bücher, Filme & Musik | Möbel & Wohnen",1.0,1,20,050,small,0
Gesundheit & Pflege | Haustier & Tierbedarf,0.0,1,20,050,small,0
"Bücher, Filme & Musik | Bürobedarf",0.0,1,20,050,small,0
Bürobedarf | Bürobedarf,0.0,1,20,050,small,0
Möbel & Wohnen | Möbel & Wohnen,0.4095238095238095,634,80,000,small,1
Kleidung & Accessoires | Kleidung & Accessoires,0.4020618556701031,562,80,000,small,1
Elektronik & Computer | Elektronik & Computer,0.38461538461538464,333,80,000,small,1
Elektronik & Computer | Möbel & Wohnen,0.5263157894736842,305,80,000,small,1
Kleidung & Accessoires | Möbel & Wohnen,0.0,227,80,000,small,1
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.5684210526315789,224,80,000,small,1
Elektronik & Computer | Kleidung & Accessoires,0.25,189,80,000,small,1
Möbel & Wohnen | Werkzeug & Baumarkt,0.37037037037037035,165,80,000,small,1
Kleidung & Accessoires | Sport & Freizeit,0.23076923076923078,144,80,000,small,1
Spielzeug & Baby | Spielzeug & Baby,0.6181818181818182,139,80,000,small,1
Kleidung & Accessoires | Werkzeug & Baumarkt,0.2222222222222222,116,80,000,small,1
Sport & Freizeit | Sport & Freizeit,0.5185185185185185,94,80,000,small,1
Auto & Motorrad | Auto & Motorrad,0.48,88,80,000,small,1
Elektronik & Computer | Werkzeug & Baumarkt,0.2857142857142857,87,80,000,small,1
Auto & Motorrad | Sport & Freizeit,0.2727272727272727,79,80,000,small,1
Möbel & Wohnen | Sport & Freizeit,0.0,70,80,000,small,1
Elektronik & Computer | Spielzeug & Baby,0.5714285714285714,61,80,000,small,1
Auto & Motorrad | Kleidung & Accessoires,0.0,59,80,000,small,1
Möbel & Wohnen | Spielzeug & Baby,0.0,59,80,000,small,1
Kleidung & Accessoires | Spielzeug & Baby,0.0,55,80,000,small,1
Auto & Motorrad | Möbel & Wohnen,0.0,51,80,000,small,1
Elektronik & Computer | Sport & Freizeit,0.0,50,80,000,small,1
Kosmetik & Drogerie | Kosmetik & Drogerie,0.26666666666666666,48,80,000,small,1
Kosmetik & Drogerie | Möbel & Wohnen,0.6666666666666666,40,80,000,small,1
Auto & Motorrad | Elektronik & Computer,0.5,39,80,000,small,1
Gesundheit & Pflege | Kosmetik & Drogerie,0.4444444444444444,35,80,000,small,1
"Bücher, Filme & Musik | Spielzeug & Baby",0.375,34,80,000,small,1
Gesundheit & Pflege | Möbel & Wohnen,1.0,33,80,000,small,1
Elektronik & Computer | Kosmetik & Drogerie,0.0,32,80,000,small,1
Spielzeug & Baby | Werkzeug & Baumarkt,0.0,31,80,000,small,1
Auto & Motorrad | Werkzeug & Baumarkt,0.0,27,80,000,small,1
Sport & Freizeit | Werkzeug & Baumarkt,0.0,25,80,000,small,1
Auto & Motorrad | Spielzeug & Baby,0.5,25,80,000,small,1
Gesundheit & Pflege | Kleidung & Accessoires,0.0,21,80,000,small,1
Gesundheit & Pflege | Gesundheit & Pflege,0.8571428571428571,21,80,000,small,1
Kleidung & Accessoires | Kosmetik & Drogerie,1.0,21,80,000,small,1
Elektronik & Computer | Lebensmittel & Getränke,0.6666666666666666,20,80,000,small,1
Spielzeug & Baby | Sport & Freizeit,0.0,20,80,000,small,1
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,18,80,000,small,1
Lebensmittel & Getränke | Möbel & Wohnen,0.0,18,80,000,small,1
Elektronik & Computer | Gesundheit & Pflege,0.0,18,80,000,small,1
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,16,80,000,small,1
Bürobedarf | Möbel & Wohnen,0.0,14,80,000,small,1
"Bücher, Filme & Musik | Kleidung & Accessoires",0.0,12,80,000,small,1
"Bücher, Filme & Musik | Bücher, Filme & Musik",0.0,9,80,000,small,1
Gesundheit & Pflege | Spielzeug & Baby,0.0,7,80,000,small,1
Auto & Motorrad | Kosmetik & Drogerie,0.0,7,80,000,small,1
Gesundheit & Pflege | Lebensmittel & Getränke,0.0,6,80,000,small,1
Kosmetik & Drogerie | Sport & Freizeit,0.0,6,80,000,small,1
"Bücher, Filme & Musik | Werkzeug & Baumarkt",0.0,6,80,000,small,1
Kleidung & Accessoires | Lebensmittel & Getränke,0.0,6,80,000,small,1
"Bücher, Filme & Musik | Elektronik & Computer",0.0,5,80,000,small,1
Gesundheit & Pflege | Sport & Freizeit,0.0,5,80,000,small,1
Bürobedarf | Werkzeug & Baumarkt,0.3333333333333333,5,80,000,small,1
"Bücher, Filme & Musik | Möbel & Wohnen",0.0,5,80,000,small,1
Lebensmittel & Getränke | Lebensmittel & Getränke,0.6666666666666666,5,80,000,small,1
Kosmetik & Drogerie | Spielzeug & Baby,0.0,4,80,000,small,1
Bürobedarf | Spielzeug & Baby,0.0,4,80,000,small,1
Kosmetik & Drogerie | Lebensmittel & Getränke,1.0,4,80,000,small,1
"Bücher, Filme & Musik | Sport & Freizeit",0.0,4,80,000,small,1
Bürobedarf | Kosmetik & Drogerie,0.0,3,80,000,small,1
Auto & Motorrad | Bürobedarf,0.0,3,80,000,small,1
Auto & Motorrad | Gesundheit & Pflege,0.0,3,80,000,small,1
Bürobedarf | Kleidung & Accessoires,0.0,3,80,000,small,1
Bürobedarf | Elektronik & Computer,0.0,3,80,000,small,1
Bürobedarf | Bürobedarf,1.0,2,80,000,small,1
Lebensmittel & Getränke | Werkzeug & Baumarkt,0.0,2,80,000,small,1
"Auto & Motorrad | Bücher, Filme & Musik",0.0,2,80,000,small,1
Lebensmittel & Getränke | Sport & Freizeit,0.0,2,80,000,small,1
Lebensmittel & Getränke | Spielzeug & Baby,0.0,2,80,000,small,1
Auto & Motorrad | Lebensmittel & Getränke,0.0,1,80,000,small,1
Bürobedarf | Sport & Freizeit,0.0,1,80,000,small,1
Kleidung & Accessoires | Kleidung & Accessoires,0.5857740585774058,800,50,050,large,1
Möbel & Wohnen | Möbel & Wohnen,0.4866920152091255,644,50,050,large,1
Kleidung & Accessoires | Möbel & Wohnen,0.2222222222222222,293,50,050,large,1
Elektronik & Computer | Kleidung & Accessoires,0.5333333333333333,210,50,050,large,1
Elektronik & Computer | Elektronik & Computer,0.8470588235294118,198,50,050,large,1
Elektronik & Computer | Möbel & Wohnen,0.7647058823529411,184,50,050,large,1
Möbel & Wohnen | Werkzeug & Baumarkt,0.8695652173913043,174,50,050,large,1
Kleidung & Accessoires | Sport & Freizeit,0.6153846153846154,165,50,050,large,1
Auto & Motorrad | Auto & Motorrad,0.5517241379310345,126,50,050,large,1
Spielzeug & Baby | Spielzeug & Baby,0.9302325581395349,113,50,050,large,1
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.7,109,50,050,large,1
Kleidung & Accessoires | Werkzeug & Baumarkt,0.0,90,50,050,large,1
Kleidung & Accessoires | Spielzeug & Baby,1.0,86,50,050,large,1
Möbel & Wohnen | Sport & Freizeit,1.0,72,50,050,large,1
Möbel & Wohnen | Spielzeug & Baby,1.0,68,50,050,large,1
Sport & Freizeit | Sport & Freizeit,0.7741935483870968,66,50,050,large,1
Kosmetik & Drogerie | Kosmetik & Drogerie,0.8461538461538461,59,50,050,large,1
Elektronik & Computer | Werkzeug & Baumarkt,0.6666666666666666,58,50,050,large,1
Kleidung & Accessoires | Kosmetik & Drogerie,1.0,58,50,050,large,1
Kosmetik & Drogerie | Möbel & Wohnen,1.0,56,50,050,large,1
Gesundheit & Pflege | Kleidung & Accessoires,0.0,55,50,050,large,1
Auto & Motorrad | Kleidung & Accessoires,0.0,53,50,050,large,1
Gesundheit & Pflege | Möbel & Wohnen,0.6666666666666666,51,50,050,large,1
Gesundheit & Pflege | Kosmetik & Drogerie,0.6666666666666666,45,50,050,large,1
Auto & Motorrad | Möbel & Wohnen,0.0,40,50,050,large,1
Elektronik & Computer | Sport & Freizeit,0.0,37,50,050,large,1
"Bücher, Filme & Musik | Spielzeug & Baby",0.8888888888888888,35,50,050,large,1
Gesundheit & Pflege | Gesundheit & Pflege,0.8181818181818182,35,50,050,large,1
Elektronik & Computer | Spielzeug & Baby,1.0,32,50,050,large,1
Bürobedarf | Möbel & Wohnen,0.0,27,50,050,large,1
Spielzeug & Baby | Werkzeug & Baumarkt,1.0,26,50,050,large,1
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,26,50,050,large,1
Gesundheit & Pflege | Werkzeug & Baumarkt,1.0,25,50,050,large,1
Elektronik & Computer | Gesundheit & Pflege,1.0,25,50,050,large,1
Bürobedarf | Kleidung & Accessoires,0.0,24,50,050,large,1
Auto & Motorrad | Sport & Freizeit,0.8,23,50,050,large,1
Elektronik & Computer | Kosmetik & Drogerie,0.0,23,50,050,large,1
Auto & Motorrad | Elektronik & Computer,0.0,22,50,050,large,1
Bürobedarf | Elektronik & Computer,1.0,21,50,050,large,1
Auto & Motorrad | Werkzeug & Baumarkt,1.0,18,50,050,large,1
Kosmetik & Drogerie | Spielzeug & Baby,0.0,16,50,050,large,1
Sport & Freizeit | Werkzeug & Baumarkt,0.0,16,50,050,large,1
Auto & Motorrad | Kosmetik & Drogerie,0.0,15,50,050,large,1
Gesundheit & Pflege | Sport & Freizeit,0.0,14,50,050,large,1
Gesundheit & Pflege | Spielzeug & Baby,1.0,14,50,050,large,1
"Bücher, Filme & Musik | Kleidung & Accessoires",1.0,12,50,050,large,1
"Bücher, Filme & Musik | Möbel & Wohnen",1.0,12,50,050,large,1
Auto & Motorrad | Spielzeug & Baby,1.0,11,50,050,large,1
"Bücher, Filme & Musik | Elektronik & Computer",0.0,10,50,050,large,1
Spielzeug & Baby | Sport & Freizeit,0.0,9,50,050,large,1
Kosmetik & Drogerie | Sport & Freizeit,0.0,8,50,050,large,1
Auto & Motorrad | Gesundheit & Pflege,0.0,7,50,050,large,1
Bürobedarf | Werkzeug & Baumarkt,0.0,7,50,050,large,1
Bürobedarf | Bürobedarf,1.0,5,50,050,large,1
"Bücher, Filme & Musik | Werkzeug & Baumarkt",0.0,5,50,050,large,1
Auto & Motorrad | Bürobedarf,0.0,4,50,050,large,1
"Bücher, Filme & Musik | Gesundheit & Pflege",1.0,3,50,050,large,1
"Auto & Motorrad | Bücher, Filme & Musik",0.0,3,50,050,large,1
Lebensmittel & Getränke | Möbel & Wohnen,0.0,3,50,050,large,1
Bürobedarf | Kosmetik & Drogerie,0.0,3,50,050,large,1
Kleidung & Accessoires | Lebensmittel & Getränke,0.0,3,50,050,large,1
"Bücher, Filme & Musik | Sport & Freizeit",0.0,2,50,050,large,1
"Bücher, Filme & Musik | Bücher, Filme & Musik",1.0,2,50,050,large,1
Gesundheit & Pflege | Lebensmittel & Getränke,0.0,2,50,050,large,1
Bürobedarf | Sport & Freizeit,0.0,2,50,050,large,1
Lebensmittel & Getränke | Lebensmittel & Getränke,1.0,1,50,050,large,1
Bürobedarf | Spielzeug & Baby,1.0,1,50,050,large,1
Elektronik & Computer | Lebensmittel & Getränke,0.0,1,50,050,large,1
"Bücher, Filme & Musik | Lebensmittel & Getränke",0.0,1,50,050,large,1
Bürobedarf | Gesundheit & Pflege,0.0,1,50,050,large,1
"Bücher, Filme & Musik | Kosmetik & Drogerie",0.0,1,50,050,large,1
Kleidung & Accessoires | Kleidung & Accessoires,0.7132867132867133,524,20,000,large,1
Elektronik & Computer | Elektronik & Computer,0.9139072847682119,424,20,000,large,1
Möbel & Wohnen | Möbel & Wohnen,0.8181818181818182,349,20,000,large,1
Elektronik & Computer | Möbel & Wohnen,0.896551724137931,314,20,000,large,1
Elektronik & Computer | Kleidung & Accessoires,0.5714285714285714,251,20,000,large,1
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.9397590361445783,218,20,000,large,1
Kleidung & Accessoires | Möbel & Wohnen,1.0,194,20,000,large,1
Möbel & Wohnen | Werkzeug & Baumarkt,0.896551724137931,162,20,000,large,1
Kleidung & Accessoires | Sport & Freizeit,0.7333333333333333,143,20,000,large,1
Elektronik & Computer | Werkzeug & Baumarkt,0.8571428571428571,139,20,000,large,1
Kleidung & Accessoires | Werkzeug & Baumarkt,0.5,123,20,000,large,1
Auto & Motorrad | Auto & Motorrad,0.5806451612903226,107,20,000,large,1
Spielzeug & Baby | Spielzeug & Baby,0.9,89,20,000,large,1
Möbel & Wohnen | Sport & Freizeit,1.0,83,20,000,large,1
Elektronik & Computer | Sport & Freizeit,0.6666666666666666,81,20,000,large,1
Sport & Freizeit | Sport & Freizeit,0.8888888888888888,79,20,000,large,1
Kosmetik & Drogerie | Möbel & Wohnen,1.0,63,20,000,large,1
Auto & Motorrad | Elektronik & Computer,0.6666666666666666,62,20,000,large,1
Elektronik & Computer | Kosmetik & Drogerie,0.0,59,20,000,large,1
Auto & Motorrad | Kleidung & Accessoires,1.0,59,20,000,large,1
Elektronik & Computer | Spielzeug & Baby,1.0,58,20,000,large,1
Gesundheit & Pflege | Möbel & Wohnen,1.0,57,20,000,large,1
Kleidung & Accessoires | Spielzeug & Baby,0.0,57,20,000,large,1
Möbel & Wohnen | Spielzeug & Baby,1.0,51,20,000,large,1
Kleidung & Accessoires | Kosmetik & Drogerie,0.0,49,20,000,large,1
Auto & Motorrad | Möbel & Wohnen,0.0,48,20,000,large,1
Elektronik & Computer | Gesundheit & Pflege,1.0,40,20,000,large,1
Sport & Freizeit | Werkzeug & Baumarkt,1.0,39,20,000,large,1
Auto & Motorrad | Sport & Freizeit,0.4,32,20,000,large,1
Gesundheit & Pflege | Kosmetik & Drogerie,0.96,31,20,000,large,1
Gesundheit & Pflege | Kleidung & Accessoires,0.6666666666666666,29,20,000,large,1
Kosmetik & Drogerie | Kosmetik & Drogerie,1.0,29,20,000,large,1
Auto & Motorrad | Werkzeug & Baumarkt,0.0,27,20,000,large,1
Elektronik & Computer | Lebensmittel & Getränke,1.0,26,20,000,large,1
