category_pair,f1,total_count,cc,un,size,run_id
Kleidung & Accessoires | Kleidung & Accessoires,0.31140350877192985,800,50,050,small,0
Möbel & Wohnen | Möbel & Wohnen,0.319047619047619,644,50,050,small,0
Kleidung & Accessoires | Möbel & Wohnen,0.1111111111111111,293,50,050,small,0
Elektronik & Computer | Kleidung & Accessoires,0.32,210,50,050,small,0
Elektronik & Computer | Elektronik & Computer,0.7157894736842105,198,50,050,small,0
Elektronik & Computer | Möbel & Wohnen,0.6,184,50,050,small,0
Möbel & Wohnen | Werkzeug & Baumarkt,0.4489795918367347,174,50,050,small,0
Kleidung & Accessoires | Sport & Freizeit,0.3380281690140845,165,50,050,small,0
Auto & Motorrad | Auto & Motorrad,0.35555555555555557,126,50,050,small,0
Spielzeug & Baby | Spielzeug & Baby,0.8076923076923077,113,50,050,small,0
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.5675675675675675,109,50,050,small,0
Kleidung & Accessoires | Werkzeug & Baumarkt,0.0,90,50,050,small,0
Kleidung & Accessoires | Spielzeug & Baby,0.4,86,50,050,small,0
Möbel & Wohnen | Sport & Freizeit,0.4,72,50,050,small,0
Möbel & Wohnen | Spielzeug & Baby,0.6666666666666666,68,50,050,small,0
Sport & Freizeit | Sport & Freizeit,0.5853658536585366,66,50,050,small,0
Kosmetik & Drogerie | Kosmetik & Drogerie,0.5641025641025641,59,50,050,small,0
Elektronik & Computer | Werkzeug & Baumarkt,0.16666666666666666,58,50,050,small,0
Kleidung & Accessoires | Kosmetik & Drogerie,0.4,58,50,050,small,0
Kosmetik & Drogerie | Möbel & Wohnen,0.5714285714285714,56,50,050,small,0
Gesundheit & Pflege | Kleidung & Accessoires,0.0,55,50,050,small,0
Auto & Motorrad | Kleidung & Accessoires,0.0,53,50,050,small,0
Gesundheit & Pflege | Möbel & Wohnen,0.5,51,50,050,small,0
Gesundheit & Pflege | Kosmetik & Drogerie,0.5161290322580645,45,50,050,small,0
Auto & Motorrad | Möbel & Wohnen,0.0,40,50,050,small,0
Elektronik & Computer | Sport & Freizeit,0.5,37,50,050,small,0
"Bücher, Filme & Musik | Spielzeug & Baby",0.625,35,50,050,small,0
Gesundheit & Pflege | Gesundheit & Pflege,0.56,35,50,050,small,0
Elektronik & Computer | Spielzeug & Baby,1.0,32,50,050,small,0
Bürobedarf | Möbel & Wohnen,0.0,27,50,050,small,0
Spielzeug & Baby | Werkzeug & Baumarkt,0.5,26,50,050,small,0
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,26,50,050,small,0
Gesundheit & Pflege | Werkzeug & Baumarkt,0.6666666666666666,25,50,050,small,0
Elektronik & Computer | Gesundheit & Pflege,0.5,25,50,050,small,0
Bürobedarf | Kleidung & Accessoires,0.0,24,50,050,small,0
Auto & Motorrad | Sport & Freizeit,0.6666666666666666,23,50,050,small,0
Elektronik & Computer | Kosmetik & Drogerie,0.0,23,50,050,small,0
Auto & Motorrad | Elektronik & Computer,0.0,22,50,050,small,0
Bürobedarf | Elektronik & Computer,0.75,21,50,050,small,0
Auto & Motorrad | Werkzeug & Baumarkt,1.0,18,50,050,small,0
Kosmetik & Drogerie | Spielzeug & Baby,0.0,16,50,050,small,0
Sport & Freizeit | Werkzeug & Baumarkt,0.0,16,50,050,small,0
Auto & Motorrad | Kosmetik & Drogerie,0.0,15,50,050,small,0
Gesundheit & Pflege | Sport & Freizeit,0.0,14,50,050,small,0
Gesundheit & Pflege | Spielzeug & Baby,1.0,14,50,050,small,0
"Bücher, Filme & Musik | Kleidung & Accessoires",0.6666666666666666,12,50,050,small,0
"Bücher, Filme & Musik | Möbel & Wohnen",1.0,12,50,050,small,0
Auto & Motorrad | Spielzeug & Baby,1.0,11,50,050,small,0
"Bücher, Filme & Musik | Elektronik & Computer",0.0,10,50,050,small,0
Spielzeug & Baby | Sport & Freizeit,0.0,9,50,050,small,0
Kosmetik & Drogerie | Sport & Freizeit,0.0,8,50,050,small,0
Auto & Motorrad | Gesundheit & Pflege,0.0,7,50,050,small,0
Bürobedarf | Werkzeug & Baumarkt,0.0,7,50,050,small,0
Bürobedarf | Bürobedarf,0.75,5,50,050,small,0
"Bücher, Filme & Musik | Werkzeug & Baumarkt",0.0,5,50,050,small,0
Auto & Motorrad | Bürobedarf,0.0,4,50,050,small,0
"Bücher, Filme & Musik | Gesundheit & Pflege",0.6666666666666666,3,50,050,small,0
"Auto & Motorrad | Bücher, Filme & Musik",0.0,3,50,050,small,0
Lebensmittel & Getränke | Möbel & Wohnen,0.0,3,50,050,small,0
Bürobedarf | Kosmetik & Drogerie,0.0,3,50,050,small,0
Kleidung & Accessoires | Lebensmittel & Getränke,0.0,3,50,050,small,0
"Bücher, Filme & Musik | Sport & Freizeit",0.0,2,50,050,small,0
"Bücher, Filme & Musik | Bücher, Filme & Musik",1.0,2,50,050,small,0
Gesundheit & Pflege | Lebensmittel & Getränke,0.0,2,50,050,small,0
Bürobedarf | Sport & Freizeit,0.0,2,50,050,small,0
Lebensmittel & Getränke | Lebensmittel & Getränke,1.0,1,50,050,small,0
Bürobedarf | Spielzeug & Baby,1.0,1,50,050,small,0
Elektronik & Computer | Lebensmittel & Getränke,0.0,1,50,050,small,0
"Bücher, Filme & Musik | Lebensmittel & Getränke",0.0,1,50,050,small,0
Bürobedarf | Gesundheit & Pflege,0.0,1,50,050,small,0
"Bücher, Filme & Musik | Kosmetik & Drogerie",0.0,1,50,050,small,0
Möbel & Wohnen | Möbel & Wohnen,0.2709867452135493,1014,80,100,large,2
Kleidung & Accessoires | Kleidung & Accessoires,0.3120567375886525,844,80,100,large,2
Kleidung & Accessoires | Möbel & Wohnen,0.25806451612903225,382,80,100,large,2
Kleidung & Accessoires | Sport & Freizeit,0.3157894736842105,177,80,100,large,2
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.2608695652173913,170,80,100,large,2
Möbel & Wohnen | Werkzeug & Baumarkt,0.36,155,80,100,large,2
Kosmetik & Drogerie | Kosmetik & Drogerie,0.3384615384615385,151,80,100,large,2
Elektronik & Computer | Möbel & Wohnen,0.6285714285714286,114,80,100,large,2
Elektronik & Computer | Kleidung & Accessoires,0.45454545454545453,105,80,100,large,2
Kosmetik & Drogerie | Möbel & Wohnen,0.3333333333333333,101,80,100,large,2
Kleidung & Accessoires | Kosmetik & Drogerie,0.0,96,80,100,large,2
Sport & Freizeit | Sport & Freizeit,0.24096385542168675,91,80,100,large,2
Kleidung & Accessoires | Werkzeug & Baumarkt,0.0,84,80,100,large,2
Spielzeug & Baby | Spielzeug & Baby,0.43478260869565216,73,80,100,large,2
Möbel & Wohnen | Sport & Freizeit,0.0,62,80,100,large,2
Elektronik & Computer | Elektronik & Computer,0.3508771929824561,60,80,100,large,2
Kleidung & Accessoires | Spielzeug & Baby,0.11764705882352941,60,80,100,large,2
Gesundheit & Pflege | Gesundheit & Pflege,0.46153846153846156,56,80,100,large,2
Auto & Motorrad | Auto & Motorrad,0.32653061224489793,53,80,100,large,2
Gesundheit & Pflege | Kleidung & Accessoires,0.5,52,80,100,large,2
Gesundheit & Pflege | Möbel & Wohnen,0.0,51,80,100,large,2
Möbel & Wohnen | Spielzeug & Baby,0.8888888888888888,42,80,100,large,2
Gesundheit & Pflege | Kosmetik & Drogerie,0.2962962962962963,41,80,100,large,2
Auto & Motorrad | Kleidung & Accessoires,0.0,39,80,100,large,2
Elektronik & Computer | Sport & Freizeit,0.47619047619047616,37,80,100,large,2
Elektronik & Computer | Werkzeug & Baumarkt,0.3076923076923077,31,80,100,large,2
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,27,80,100,large,2
Auto & Motorrad | Möbel & Wohnen,0.0,25,80,100,large,2
Sport & Freizeit | Werkzeug & Baumarkt,0.25,23,80,100,large,2
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,20,80,100,large,2
Elektronik & Computer | Kosmetik & Drogerie,0.0,20,80,100,large,2
Auto & Motorrad | Sport & Freizeit,0.36363636363636365,17,80,100,large,2
Auto & Motorrad | Elektronik & Computer,0.25,14,80,100,large,2
Spielzeug & Baby | Werkzeug & Baumarkt,0.0,12,80,100,large,2
Elektronik & Computer | Spielzeug & Baby,0.0,12,80,100,large,2
Spielzeug & Baby | Sport & Freizeit,0.0,12,80,100,large,2
Gesundheit & Pflege | Sport & Freizeit,0.0,11,80,100,large,2
Bürobedarf | Möbel & Wohnen,0.4,10,80,100,large,2
Auto & Motorrad | Kosmetik & Drogerie,0.0,10,80,100,large,2
Elektronik & Computer | Gesundheit & Pflege,0.0,9,80,100,large,2
Kosmetik & Drogerie | Sport & Freizeit,0.6666666666666666,9,80,100,large,2
Auto & Motorrad | Gesundheit & Pflege,0.0,8,80,100,large,2
Kosmetik & Drogerie | Spielzeug & Baby,0.0,8,80,100,large,2
Lebensmittel & Getränke | Möbel & Wohnen,0.5,8,80,100,large,2
Lebensmittel & Getränke | Sport & Freizeit,0.0,7,80,100,large,2
Auto & Motorrad | Werkzeug & Baumarkt,0.0,7,80,100,large,2
Bürobedarf | Kleidung & Accessoires,0.0,6,80,100,large,2
Bürobedarf | Elektronik & Computer,0.6666666666666666,6,80,100,large,2
Gesundheit & Pflege | Spielzeug & Baby,0.0,6,80,100,large,2
Gesundheit & Pflege | Lebensmittel & Getränke,0.5,5,80,100,large,2
Auto & Motorrad | Spielzeug & Baby,0.0,5,80,100,large,2
"Bücher, Filme & Musik | Kleidung & Accessoires",1.0,3,80,100,large,2
Bürobedarf | Werkzeug & Baumarkt,0.0,3,80,100,large,2
Lebensmittel & Getränke | Lebensmittel & Getränke,0.0,3,80,100,large,2
Kleidung & Accessoires | Lebensmittel & Getränke,0.0,2,80,100,large,2
Bürobedarf | Kosmetik & Drogerie,0.0,2,80,100,large,2
Auto & Motorrad | Bürobedarf,0.0,2,80,100,large,2
Bürobedarf | Bürobedarf,1.0,2,80,100,large,2
Kosmetik & Drogerie | Lebensmittel & Getränke,0.6666666666666666,2,80,100,large,2
"Bücher, Filme & Musik | Möbel & Wohnen",0.0,1,80,100,large,2
Bürobedarf | Spielzeug & Baby,0.0,1,80,100,large,2
Bürobedarf | Gesundheit & Pflege,0.0,1,80,100,large,2
"Bücher, Filme & Musik | Gesundheit & Pflege",0.0,1,80,100,large,2
Lebensmittel & Getränke | Werkzeug & Baumarkt,0.0,1,80,100,large,2
Lebensmittel & Getränke | Spielzeug & Baby,0.0,1,80,100,large,2
Möbel & Wohnen | Möbel & Wohnen,0.4777777777777778,847,80,050,medium,0
Kleidung & Accessoires | Kleidung & Accessoires,0.3667621776504298,828,80,050,medium,0
Kleidung & Accessoires | Möbel & Wohnen,0.125,350,80,050,medium,0
Elektronik & Computer | Möbel & Wohnen,0.6538461538461539,241,80,050,medium,0
Kleidung & Accessoires | Sport & Freizeit,0.42105263157894735,192,80,050,medium,0
Möbel & Wohnen | Werkzeug & Baumarkt,0.75,160,80,050,medium,0
Sport & Freizeit | Sport & Freizeit,0.3218390804597701,153,80,050,medium,0
Elektronik & Computer | Elektronik & Computer,0.7941176470588235,144,80,050,medium,0
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.46153846153846156,137,80,050,medium,0
Elektronik & Computer | Kleidung & Accessoires,0.625,125,80,050,medium,0
Möbel & Wohnen | Sport & Freizeit,0.3333333333333333,106,80,050,medium,0
Spielzeug & Baby | Spielzeug & Baby,0.6521739130434783,73,80,050,medium,0
Kleidung & Accessoires | Werkzeug & Baumarkt,0.0,70,80,050,medium,0
Elektronik & Computer | Sport & Freizeit,0.5882352941176471,62,80,050,medium,0
Kosmetik & Drogerie | Kosmetik & Drogerie,0.4666666666666667,60,80,050,medium,0
Kleidung & Accessoires | Spielzeug & Baby,0.0,58,80,050,medium,0
Möbel & Wohnen | Spielzeug & Baby,0.6153846153846154,58,80,050,medium,0
Auto & Motorrad | Auto & Motorrad,0.48,55,80,050,medium,0
Kosmetik & Drogerie | Möbel & Wohnen,0.5714285714285714,48,80,050,medium,0
Auto & Motorrad | Kleidung & Accessoires,0.0,47,80,050,medium,0
Elektronik & Computer | Werkzeug & Baumarkt,0.0,46,80,050,medium,0
Kleidung & Accessoires | Kosmetik & Drogerie,0.0,46,80,050,medium,0
Auto & Motorrad | Möbel & Wohnen,0.0,44,80,050,medium,0
Auto & Motorrad | Sport & Freizeit,0.42857142857142855,38,80,050,medium,0
Gesundheit & Pflege | Möbel & Wohnen,0.0,34,80,050,medium,0
Bürobedarf | Möbel & Wohnen,0.5454545454545454,32,80,050,medium,0
Gesundheit & Pflege | Kleidung & Accessoires,0.75,31,80,050,medium,0
Auto & Motorrad | Elektronik & Computer,0.2222222222222222,23,80,050,medium,0
Gesundheit & Pflege | Kosmetik & Drogerie,0.5714285714285714,22,80,050,medium,0
Sport & Freizeit | Werkzeug & Baumarkt,1.0,22,80,050,medium,0
Elektronik & Computer | Spielzeug & Baby,0.0,21,80,050,medium,0
Bürobedarf | Werkzeug & Baumarkt,1.0,20,80,050,medium,0
Elektronik & Computer | Kosmetik & Drogerie,0.0,18,80,050,medium,0
Elektronik & Computer | Gesundheit & Pflege,0.0,18,80,050,medium,0
Gesundheit & Pflege | Gesundheit & Pflege,0.36363636363636365,17,80,050,medium,0
Elektronik & Computer | Lebensmittel & Getränke,0.6666666666666666,14,80,050,medium,0
Lebensmittel & Getränke | Möbel & Wohnen,1.0,14,80,050,medium,0
Bürobedarf | Kleidung & Accessoires,1.0,14,80,050,medium,0
Spielzeug & Baby | Sport & Freizeit,0.0,13,80,050,medium,0
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,12,80,050,medium,0
