dataset,threshold,count,precision,recall,f1
large_products50cc50rnd050un_NaiveBayes_1,1.0,11,0.7272727272727273,1.0,0.8421052631578947
small_products20cc80rnd050un_DecisionTree_1,0.88,43,0.3023255813953488,1.0,0.4642857142857143
large_products20cc80rnd000un_LinearSVC_2,0.98,2,1.0,1.0,1.0
medium_products20cc80rnd100un_NaiveBayes_2,0.015,515,0.2796116504854369,1.0,0.4370257966616085
large_products50cc50rnd100un_NaiveBayes_3,1.0,2,0.5,1.0,0.6666666666666666
medium_products80cc20rnd050un_DecisionTree_1,0.915,34,0.47058823529411764,1.0,0.64
small_products20cc80rnd050un_RandomForest_1,0.61,14,0.42857142857142855,1.0,0.6
small_products80cc20rnd050un_LinearSVC_3,0.8250000000000001,27,0.48148148148148145,1.0,0.65
small_products20cc80rnd050un_NaiveBayes_2,1.0,61,0.32786885245901637,1.0,0.49382716049382713
medium_products80cc20rnd050un_XGBoost_3,0.835,46,0.45652173913043476,1.0,0.6268656716417911
small_products50cc50rnd100un_LogisticRegression_2,0.995,34,0.4411764705882353,1.0,0.6122448979591837
medium_products50cc50rnd050un_XGBoost_1,0.885,22,0.3181818181818182,1.0,0.4827586206896552
medium_products20cc80rnd000un_RandomForest_3,0.56,1,1.0,1.0,1.0
medium_products20cc80rnd000un_XGBoost_2,0.92,7,0.5714285714285714,1.0,0.7272727272727273
large_products80cc20rnd100un_RandomForest_3,0.525,2,0.5,1.0,0.6666666666666666
medium_products80cc20rnd000un_NaiveBayes_2,0.065,407,0.2972972972972973,1.0,0.4583333333333333
large_products50cc50rnd050un_RandomForest_2,0.525,12,0.8333333333333334,1.0,0.9090909090909091
medium_products80cc20rnd000un_RandomForest_2,0.55,1,1.0,1.0,1.0
small_products80cc20rnd050un_RandomForest_3,0.515,14,0.21428571428571427,1.0,0.35294117647058826
small_products50cc50rnd000un_DecisionTree_2,0.0,4470,0.08187919463087248,1.0,0.1513647642679901
medium_products80cc20rnd000un_LogisticRegression_1,0.96,176,0.5397727272727273,1.0,0.7011070110701108
large_products50cc50rnd050un_LogisticRegression_3,0.99,120,0.7083333333333334,1.0,0.8292682926829268
medium_products20cc80rnd000un_DecisionTree_3,0.9550000000000001,3,0.6666666666666666,1.0,0.8
small_products80cc20rnd100un_RandomForest_3,0.505,111,0.16216216216216217,1.0,0.27906976744186046
medium_products50cc50rnd050un_LogisticRegression_2,0.98,75,0.6266666666666667,1.0,0.7704918032786885
medium_products50cc50rnd100un_LinearSVC_2,0.98,2,1.0,1.0,1.0
large_products50cc50rnd000un_LinearSVC_1,0.9500000000000001,19,0.8947368421052632,1.0,0.9444444444444444
large_products20cc80rnd000un_DecisionTree_2,0.995,29,0.9655172413793104,1.0,0.9824561403508771
large_products20cc80rnd100un_DecisionTree_1,0.63,10,0.6,1.0,0.75
small_products80cc20rnd050un_DecisionTree_1,0.905,58,0.27586206896551724,1.0,0.43243243243243246
small_products20cc80rnd100un_XGBoost_2,0.9500000000000001,2,1.0,1.0,1.0
medium_products20cc80rnd050un_RandomForest_1,0.525,195,0.358974358974359,1.0,0.5283018867924528
medium_products80cc20rnd050un_XGBoost_1,0.79,117,0.41025641025641024,1.0,0.5818181818181818
large_products50cc50rnd050un_XGBoost_3,0.905,2,1.0,1.0,1.0
large_products50cc50rnd050un_LinearSVC_2,0.9,41,0.7317073170731707,1.0,0.8450704225352113
large_products20cc80rnd000un_DecisionTree_1,0.995,25,0.96,1.0,0.9795918367346939
small_products50cc50rnd100un_LinearSVC_1,0.895,22,0.5,1.0,0.6666666666666666
small_products20cc80rnd050un_XGBoost_1,0.9550000000000001,2,1.0,1.0,1.0
small_products80cc20rnd100un_DecisionTree_3,0.905,75,0.2,1.0,0.3333333333333333
