id,name_chars_de,name_tokens_de,desc_chars_de,desc_tokens_de,name_chars_en,name_tokens_en,desc_chars_en,desc_tokens_en,desc_shortened_10p,name_shortened_10p,desc_shortened_20p,name_shortened_20p,desc_shortened_30p,name_shortened_30p
4934929781,85,27,85,27,91,20,91,20,True,True,True,True,False,False
1434308545,163,68,811,258,157,53,758,169,True,True,True,True,True,False
35840895191,111,49,997,276,108,41,891,177,True,True,True,False,True,False
4332430854,51,19,295,99,52,16,260,71,True,True,True,False,False,False
1810185303,74,36,1195,360,74,34,1065,246,True,False,True,False,True,False
19200751877,56,26,70,24,58,26,71,21,True,False,False,False,False,False
4405820651,29,7,115,36,27,7,123,25,True,False,True,False,True,False
2071810750,72,20,72,20,90,19,90,19,False,False,False,False,False,False
4283871990,44,18,239,64,52,18,226,45,True,False,True,False,False,False
1701502009,65,28,200,60,65,21,200,44,True,True,True,True,False,False
4833740538,47,17,95,32,46,14,111,29,False,True,False,False,False,False
4657604028,46,17,94,36,45,14,100,27,True,True,True,False,False,False
207032695430,129,47,973,293,153,41,959,208,True,True,True,False,False,False
550633511658,294,112,1795,514,282,83,1745,340,True,True,True,True,True,False
4514268207,45,11,533,157,50,12,505,115,True,False,True,False,False,False
97115450346,46,17,449,134,39,13,358,88,True,True,True,True,True,False
3887327251,33,11,174,60,34,10,160,44,True,False,True,False,False,False
3559141874,45,14,255,73,45,14,284,58,True,False,True,False,False,False
1628142291,83,29,432,118,115,27,440,92,True,False,True,False,False,False
1961624635,38,16,799,251,40,16,752,172,True,False,True,False,True,False
2081856411,78,23,78,23,73,17,73,17,True,True,True,True,False,False
3633114696,149,48,149,48,161,34,161,33,True,True,True,True,True,False
61480810216,76,29,146,55,74,26,151,45,True,True,False,False,False,False
14613525328,78,33,1313,464,83,25,1319,345,True,True,True,True,False,False
3082154081,128,52,288,81,112,39,281,66,True,True,False,True,False,False
113940347013,90,38,454,135,92,30,409,94,True,True,True,True,True,False
4442404182,75,28,170,70,78,21,172,57,True,True,False,True,False,False
41556618165,74,31,74,31,64,22,64,22,True,True,True,True,False,False
1760567279,97,31,0,0,108,24,0,0,False,True,False,True,False,False
4674166292,179,59,745,255,186,43,780,184,True,True,True,True,False,False
1543994516,36,14,415,125,37,14,383,90,True,False,True,False,False,False
4726063649,62,19,92,30,64,17,98,27,False,True,False,False,False,False
4883979137,42,12,37,8,42,12,33,8,True,False,False,False,False,False
2118850114,59,17,1191,323,64,16,1018,224,True,False,True,False,True,False
4358894069,60,23,999,407,72,23,954,262,True,False,True,False,True,False
4717147193,36,12,116,43,34,11,102,39,True,False,False,False,False,False
2064580910,88,24,423,128,80,18,411,89,True,True,True,True,True,False
2073591147,142,53,2289,818,135,42,2284,610,True,True,True,True,False,False
4657264966,80,33,80,33,87,27,87,26,True,True,True,False,False,False
4821187508,49,19,91,36,51,17,102,30,True,True,False,False,False,False
3937838359,38,10,1811,578,39,9,1827,427,True,False,True,False,False,False
3756773168,113,45,1946,606,97,34,1840,432,True,True,True,True,False,False
197780879481,50,17,86,27,50,16,86,25,False,False,False,False,False,False
4158629441,27,7,351,105,27,6,302,69,True,True,True,False,True,False
379478720787,43,14,90,32,46,13,92,30,False,False,False,False,False,False
3479468876,43,17,625,228,45,13,510,135,True,True,True,True,True,False
2076000953,65,29,230,80,69,23,228,54,True,True,True,True,True,False
4155453347,107,37,159,59,129,31,160,38,True,True,True,False,True,False
58909543123,50,22,459,157,55,20,436,123,True,False,True,False,False,False
4636350698,79,34,62,25,93,34,75,27,False,False,False,False,False,False
1639256138,120,48,599,183,115,43,595,122,True,True,True,False,True,False
4206185741,150,56,205,83,152,48,224,59,True,True,True,False,False,False
3633303372,143,63,143,63,137,49,137,45,True,True,True,True,False,False
3077591998,62,23,144,47,68,17,154,36,True,True,True,True,False,False
1741741476,60,18,141,43,65,16,140,34,True,True,True,False,False,False
3630377995,175,58,1138,329,182,43,1114,231,True,True,True,True,False,False
135661412204,30,15,1058,344,29,12,1052,277,True,True,False,False,False,False
4070369143,50,13,202,61,44,10,189,48,True,True,True,True,False,False
1841861991,37,12,741,199,24,7,652,147,True,True,True,True,False,True
244380536377,127,50,696,193,129,43,611,125,True,True,True,False,True,False
4668248026,32,16,651,201,32,12,596,131,True,True,True,True,True,False
4015322905,60,25,56,17,55,23,60,12,True,False,True,False,False,False
176559958604,42,19,194,60,46,19,198,43,True,False,True,False,False,False
187850583866,42,19,201,62,46,19,207,45,True,False,True,False,False,False
4655118040,117,49,99,36,117,43,99,31,True,True,False,False,False,False
1371718847,160,67,811,258,158,54,768,172,True,True,True,False,True,False
2062777752,45,19,200,72,45,15,221,51,True,True,True,True,False,False
4893654052,71,27,190,57,73,24,167,41,True,True,True,False,False,False
4397754007,53,19,146,41,44,15,138,28,True,True,True,True,True,False
3429530265,78,30,0,0,76,24,0,0,False,True,False,False,False,False
3951836421,50,19,50,19,47,12,47,12,True,True,True,True,True,True
2079134592,57,21,162,58,62,20,174,48,True,False,False,False,False,False
30238763253,191,73,244,79,189,49,230,57,True,True,True,True,False,True
2058316912,68,23,289,96,74,21,275,70,True,False,True,False,False,False
4040422114,45,23,63,20,51,20,53,13,True,True,True,False,True,False
2059208034,93,39,1012,301,97,37,1025,219,True,False,True,False,False,False
2118636976,71,29,1570,538,72,22,1743,381,True,True,True,True,False,False
65121698593,84,30,69,28,80,24,68,27,False,True,False,False,False,False
1639859238,63,23,162,58,66,21,172,47,True,False,False,False,False,False
4590034064,138,52,647,184,143,41,609,118,True,True,True,True,True,False
1721524699,115,40,459,135,123,35,452,91,True,True,True,False,True,False
2152065366,41,13,1578,479,42,14,1414,339,True,False,True,False,False,False
3044853716,63,17,1191,323,65,16,1047,228,True,False,True,False,False,False
1653994308,80,28,253,68,93,26,249,57,True,False,False,False,False,False
5174644144,63,21,998,348,59,18,837,222,True,True,True,False,True,False
4473639064,39,12,273,95,34,9,266,72,True,True,True,True,False,False
1372548918,69,22,69,22,65,19,65,19,True,True,False,False,False,False
1729872694,96,28,763,206,99,28,682,155,True,False,True,False,False,False
1711682143,83,25,1179,322,90,25,1070,230,True,False,True,False,False,False
2107319978,67,18,1731,480,70,18,1503,311,True,False,True,False,True,False
4915072924,48,21,240,78,50,19,222,51,True,False,True,False,True,False
2112404854,54,24,321,103,53,20,320,70,True,True,True,False,True,False
4273495849,79,31,999,349,77,30,912,255,True,False,True,False,False,False
2198670733,84,28,999,271,86,27,926,182,True,False,True,False,True,False
1396458706,27,12,26,9,26,12,24,7,True,False,True,False,False,False
2066964990,45,10,355,94,44,9,353,80,True,False,False,False,False,False
2037039871,39,11,80,28,41,9,98,22,True,True,True,False,False,False
3633533062,84,30,84,30,77,25,77,25,True,True,False,False,False,False
29401716667,59,22,58,25,68,16,75,19,True,True,True,True,False,False
2055388911,152,65,674,185,145,50,576,116,True,True,True,True,True,False
3634100347,150,58,150,58,144,42,144,42,True,True,True,True,False,False
4293069425,71,20,357,103,65,16,306,71,True,True,True,False,True,False
3961805889,40,12,674,220,43,12,668,154,True,False,True,False,False,False
4145538930,47,21,999,346,47,21,827,203,True,False,True,False,True,False
1372178479,47,17,333,90,52,15,298,62,True,True,True,False,True,False
3926916973,130,47,647,184,131,37,645,121,True,True,True,True,True,False
3494646727,42,13,600,194,42,12,579,127,True,False,True,False,True,False
2113489584,97,47,487,150,107,44,450,106,True,False,True,False,False,False
5066826501,44,18,3534,1021,47,13,3271,722,True,True,True,True,False,False
210832073881,64,16,81,35,65,17,85,29,True,False,False,False,False,False
4726348614,76,34,76,34,90,32,90,32,False,False,False,False,False,False
4542039020,39,12,39,12,38,10,38,10,True,True,False,False,False,False
4557840495,36,21,227,68,39,19,233,51,True,False,True,False,False,False
3702620538,40,16,40,16,35,13,35,13,True,True,False,False,False,False
2071860396,148,48,105,37,144,34,117,27,True,True,True,True,False,False
2056226500,39,16,187,68,33,12,188,65,False,True,False,True,False,False
3637013838,54,19,54,19,54,19,54,19,False,False,False,False,False,False
499646724147,78,34,78,34,81,33,81,33,False,False,False,False,False,False
1314229142,71,34,31,15,67,26,29,11,True,True,True,True,False,False
3400442486,66,22,461,146,75,19,387,88,True,True,True,False,True,False
3400949384,137,46,137,46,139,38,139,38,True,True,False,False,False,False
3967431644,56,24,1413,391,61,22,1334,264,True,False,True,False,True,False
1728174551,51,23,240,74,49,21,215,50,True,False,True,False,True,False
3467124013,70,24,1500,447,77,22,1319,285,True,False,True,False,True,False
1726849895,75,27,1024,317,73,24,1120,221,True,True,True,False,True,False
3072527640,72,26,172,63,68,24,164,41,True,False,True,False,True,False
1681387366,49,21,862,309,75,20,935,256,True,False,False,False,False,False
1811606501,78,33,252,94,74,30,255,69,True,False,True,False,False,False
1502419182,49,17,677,218,51,15,673,160,True,True,True,False,False,False
1437065018,45,15,34,10,42,13,46,8,True,True,False,False,False,False
76157113368,77,33,899,367,78,30,902,357,False,False,False,False,False,False
3026064813,158,51,1169,326,171,43,1146,232,True,True,True,False,False,False
3475310737,71,27,573,168,75,22,523,120,True,True,True,False,False,False
3042130107,66,28,66,28,75,23,75,23,True,True,False,False,False,False
1960991500,71,32,140,41,83,26,161,31,True,True,True,False,False,False
3053522778,130,63,560,197,121,57,543,155,True,False,True,False,False,False
2119615174,64,27,186,54,58,25,165,32,True,False,True,False,True,False
1639874909,45,22,187,63,52,22,179,42,True,False,True,False,True,False
2070908678,54,26,216,76,61,23,223,54,True,True,True,False,False,False
3692837048,72,27,72,27,74,24,74,24,True,True,False,False,False,False
1667389566,153,55,1171,325,161,41,1142,230,True,True,True,True,False,False
3214249594,51,16,210,66,52,14,220,55,True,True,False,False,False,False
2054781182,42,14,1251,425,44,12,1229,306,True,True,True,False,False,False
1995007743,34,9,541,155,34,9,493,109,True,False,True,False,False,False
3047893935,45,12,922,271,45,12,884,192,True,False,True,False,False,False
3559141878,44,14,255,73,44,14,283,56,True,False,True,False,False,False
4206177622,150,56,232,86,174,47,210,54,True,True,True,False,True,False
4606763895,109,34,4444,1505,120,34,4369,1081,True,False,True,False,False,False
2215543173,203,72,288,111,199,55,281,70,True,True,True,True,True,False
4236851222,35,15,742,265,35,15,707,182,True,False,True,False,True,False
4813716345,38,14,38,12,36,11,42,11,False,True,False,True,False,False
4969770564,43,14,4294,1257,43,10,4056,920,True,True,True,True,False,False
4426912526,58,19,58,19,57,18,57,18,False,False,False,False,False,False
2667613191,94,35,531,171,89,23,496,104,True,True,True,True,True,True
4651001595,66,25,88,32,80,29,114,34,False,False,False,False,False,False
3301628409,58,17,92,28,58,17,92,23,True,False,False,False,False,False
1502507146,63,17,1168,356,75,18,1086,250,True,False,True,False,False,False
2452901483,50,20,83,33,50,21,80,27,True,False,False,False,False,False
4716933437,144,42,162,58,140,37,152,43,True,True,True,False,False,False
3249295282,71,26,1654,450,74,22,1430,303,True,True,True,False,True,False
1437868238,44,19,67,18,45,14,81,15,True,True,False,True,False,False
156117172741,43,18,154,58,53,17,172,46,True,False,True,False,False,False
156277193948,69,26,1941,542,88,27,1727,351,True,False,True,False,True,False
4416668619,51,22,229,74,52,19,221,48,True,True,True,False,True,False
17373109457,51,25,193,61,65,25,209,41,True,False,True,False,True,False
528895744557,80,29,80,29,134,35,134,35,False,False,False,False,False,False
3728591592,48,18,999,416,49,13,886,235,True,True,True,True,True,False
3831306913,179,72,176,72,169,59,158,56,True,True,True,False,False,False
4683128574,37,15,299,101,40,14,284,70,True,False,True,False,True,False
4683128693,37,15,296,101,36,13,281,69,True,True,True,False,True,False
2067590020,51,19,107,38,58,18,96,24,True,False,True,False,True,False
4851856042,56,20,55,21,57,18,57,16,True,False,True,False,False,False
133162664120,118,43,401,121,123,33,400,87,True,True,True,True,False,False
4157401170,35,12,1142,374,37,13,1181,328,True,False,False,False,False,False
4642851315,52,21,68,28,48,18,64,25,True,True,False,False,False,False
3954632610,71,31,519,195,75,24,446,122,True,True,True,True,True,False
3419405027,117,49,166,53,143,41,188,38,True,True,True,False,False,False
5091621114,55,21,805,267,68,20,798,176,True,False,True,False,True,False
1314318421,69,31,82,27,63,22,75,17,True,True,True,True,True,False
4320035753,69,25,999,272,55,23,815,140,True,True,True,True,True,False
2075941248,30,11,241,83,31,10,255,56,True,False,True,False,True,False
3995754516,30,10,1138,303,35,11,1031,208,True,False,True,False,True,False
92368429738,38,14,752,216,48,10,708,147,True,True,True,True,True,False
4687269370,68,28,460,167,81,23,462,114,True,True,True,False,True,False
229064296735,45,18,96,38,64,18,108,34,True,False,False,False,False,False
1541880573,52,19,901,278,69,13,886,194,True,True,True,True,True,True
197780911762,50,17,93,29,50,16,107,28,False,False,False,False,False,False
192039556109,121,41,813,281,122,33,875,210,True,True,True,False,False,False
156117700215,108,38,84,27,105,29,86,24,True,True,False,True,False,False
5183982232,63,22,984,322,87,22,964,222,True,False,True,False,True,False
4445134769,37,13,26,9,45,13,31,9,False,False,False,False,False,False
3441006989,48,14,908,269,53,13,889,200,True,False,True,False,False,False
4877557723,107,38,736,228,103,29,698,141,True,True,True,True,True,False
1472057121,55,27,995,293,62,28,846,165,True,False,True,False,True,False
4161797606,58,25,2304,689,56,23,2028,440,True,False,True,False,True,False
1688741198,59,16,71,25,61,18,62,16,True,False,True,False,True,False
1328713620,54,19,607,200,53,18,572,132,True,False,True,False,True,False
4185378416,40,16,316,109,38,10,305,77,True,True,True,True,False,True
4824413800,38,17,206,68,37,10,199,46,True,True,True,True,True,True
2074747025,76,27,750,229,88,25,721,160,True,False,True,False,True,False
2138241335,51,23,604,197,60,23,603,153,True,False,True,False,False,False
2066509476,50,20,288,87,50,21,246,58,True,False,True,False,True,False
2054657150,52,17,187,58,45,16,171,38,True,True,True,False,True,False
4728183172,52,15,507,148,59,14,516,99,True,False,True,False,True,False
2062122607,89,31,338,93,111,25,335,69,True,True,True,False,False,False
4437686963,80,28,80,28,94,22,94,22,True,True,True,True,False,False
4945184061,181,61,745,255,188,43,782,185,True,True,True,True,False,False
2113209826,87,34,792,233,99,31,800,148,True,False,True,False,True,False
5026206690,59,23,999,350,73,22,1003,230,True,False,True,False,True,False
335140369784,276,98,562,170,306,78,558,126,True,True,True,True,False,False
3938878589,70,24,68,21,62,21,62,13,True,True,True,False,True,False
